Parameter Name,Value,Units
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Trend Marker | Avg,0.0,
Zone 1 | Trend Marker | Min,0.0,
Zone 1 | Trend Marker | Max,0.0,
,,
—,—,
Dashboard Log File,override_NetworkCopy_Training_network_smoke_raw.csv,
Good Zones Count,1,count
Good Zones X Column,Bare Fibre Diameter,
Zone 1 | Start,125.0,Bare Fibre Diameter
Zone 1 | End,125.12,Bare Fibre Diameter
Zone 1 | Length span,0.2,km
Zone 1 | Bare Fibre Diameter | Avg,125.05999999999999,
Zone 1 | Bare Fibre Diameter | Min,125.0,
Zone 1 | Bare Fibre Diameter | Max,125.12,
Zone 1 | Furnace DegC Actual | Avg,2100.9,
Zone 1 | Furnace DegC Actual | Min,2100.0,
Zone 1 | Furnace DegC Actual | Max,2101.8,
Zone 1 | Fibre Length | Avg,0.1,
Zone 1 | Fibre Length | Min,0.0,
Zone 1 | Fibre Length | Max,0.2,
Zone 1 | UV 1 Intensity | Avg,82.4,
Zone 1 | UV 1 Intensity | Min,82.0,
Zone 1 | UV 1 Intensity | Max,82.8,
Zone 1 | Furnace MFC1 Actual | Avg,1.16,
Zone 1 | Furnace MFC1 Actual | Min,1.1,
Zone 1 | Furnace MFC1 Actual | Max,1.25,
Zone 1 | Good Fibre State | Avg,0.0,
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Trend Marker | Avg,0.0,
Zone 1 | Trend Marker | Min,0.0,
Zone 1 | Trend Marker | Max,0.0,
,,
—,—,
Dashboard Log File,override_override_NetworkCopy_Training_network_smoke_raw.csv,
Good Zones Count,1,count
Good Zones X Column,Bare Fibre Diameter,
Zone 1 | Start,125.0,Bare Fibre Diameter
Zone 1 | End,125.12,Bare Fibre Diameter
Zone 1 | Length span,0.2,km
Zone 1 | Bare Fibre Diameter | Avg,125.05999999999999,
Zone 1 | Bare Fibre Diameter | Min,125.0,
Zone 1 | Bare Fibre Diameter | Max,125.12,
Zone 1 | Furnace DegC Actual | Avg,2100.9,
Zone 1 | Furnace DegC Actual | Min,2100.0,
Zone 1 | Furnace DegC Actual | Max,2101.8,
Zone 1 | Fibre Length | Avg,0.1,
Zone 1 | Fibre Length | Min,0.0,
Zone 1 | Fibre Length | Max,0.2,
Zone 1 | UV 1 Intensity | Avg,82.4,
Zone 1 | UV 1 Intensity | Min,82.0,
Zone 1 | UV 1 Intensity | Max,82.8,
Zone 1 | Furnace MFC1 Actual | Avg,1.16,
Zone 1 | Furnace MFC1 Actual | Min,1.1,
Zone 1 | Furnace MFC1 Actual | Max,1.25,
Zone 1 | Good Fibre State | Avg,0.0,
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Trend Marker | Avg,0.0,
Zone 1 | Trend Marker | Min,0.0,
Zone 1 | Trend Marker | Max,0.0,
,,
—,—,
Dashboard Log File,override_override_NetworkCopy_Training_network_smoke_raw.csv,
Good Zones Count,1,count
Good Zones X Column,Bare Fibre Diameter,
Zone 1 | Start,125.0,Bare Fibre Diameter
Zone 1 | End,125.12,Bare Fibre Diameter
Zone 1 | Length span,0.2,km
Zone 1 | Bare Fibre Diameter | Avg,125.05999999999999,
Zone 1 | Bare Fibre Diameter | Min,125.0,
Zone 1 | Bare Fibre Diameter | Max,125.12,
Zone 1 | Furnace DegC Actual | Avg,2100.9,
Zone 1 | Furnace DegC Actual | Min,2100.0,
Zone 1 | Furnace DegC Actual | Max,2101.8,
Zone 1 | Fibre Length | Avg,0.1,
Zone 1 | Fibre Length | Min,0.0,
Zone 1 | Fibre Length | Max,0.2,
Zone 1 | UV 1 Intensity | Avg,82.4,
Zone 1 | UV 1 Intensity | Min,82.0,
Zone 1 | UV 1 Intensity | Max,82.8,
Zone 1 | Furnace MFC1 Actual | Avg,1.16,
Zone 1 | Furnace MFC1 Actual | Min,1.1,
Zone 1 | Furnace MFC1 Actual | Max,1.25,
Zone 1 | Good Fibre State | Avg,0.0,
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Trend Marker | Avg,0.0,
Zone 1 | Trend Marker | Min,0.0,
Zone 1 | Trend Marker | Max,0.0,
,,
—,—,
Dashboard Log File,override_override_NetworkCopy_Training_network_smoke_raw.csv,
Good Zones Count,1,count
Good Zones X Column,Bare Fibre Diameter,
Zone 1 | Start,125.0,Bare Fibre Diameter
Zone 1 | End,125.12,Bare Fibre Diameter
Zone 1 | Length span,0.2,km
Zone 1 | Bare Fibre Diameter | Avg,125.05999999999999,
Zone 1 | Bare Fibre Diameter | Min,125.0,
Zone 1 | Bare Fibre Diameter | Max,125.12,
Zone 1 | Furnace DegC Actual | Avg,2100.9,
Zone 1 | Furnace DegC Actual | Min,2100.0,
Zone 1 | Furnace DegC Actual | Max,2101.8,
Zone 1 | Fibre Length | Avg,0.1,
Zone 1 | Fibre Length | Min,0.0,
Zone 1 | Fibre Length | Max,0.2,
Zone 1 | UV 1 Intensity | Avg,82.4,
Zone 1 | UV 1 Intensity | Min,82.0,
Zone 1 | UV 1 Intensity | Max,82.8,
Zone 1 | Furnace MFC1 Actual | Avg,1.16,
Zone 1 | Furnace MFC1 Actual | Min,1.1,
Zone 1 | Furnace MFC1 Actual | Max,1.25,
Zone 1 | Good Fibre State | Avg,0.0,
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Trend Marker | Avg,0.0,
Zone 1 | Trend Marker | Min,0.0,
Zone 1 | Trend Marker | Max,0.0,
,,
