Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T20_P2,
Order__Draw Date,2025-08-12 16:14:04.069559,
Order__Order Index,,
Order__Preform Number,T20_P2,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),22,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),40,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),32,°C
Order__Secondary Coating Temperature (°C),32,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-08-12 16:14:04.069559,
Process__Preform Diameter,16.5,mm
Process__Preform Shape,Tiger Cut,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,1,bool
Process__Tiger Cut,22,%
Process__PM Iris System,1,bool
Process__Iris Mode,PM Auto,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,21.5,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,40,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),88.9165945546,µm
Process__Second Coating Diameter (Theoretical),113.4913128967,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,32,°C
Process__Secondary Coating Temperature,32,°C
Process__Primary Die Diameter,150,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_150,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1,
Process__TF Mode,Winder,
Process__Increment TF Value,0.128,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-08-12 16:14:04.069559,
Dashboard Log File,Pre_T_20_2_12082025_161109.csv,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-12-08 15:50:46.806000,index/label
Zone 1 | End,2025-12-08 16:04:55.806000,index/label
Zone 1 | Bare Fibre Diameter | Avg,39.9805885988,µm
Zone 1 | Bare Fibre Diameter | Max,40.3999977112,µm
Zone 1 | Bare Fibre Diameter | Min,39.5999984741,µm
Zone 1 | Capstan Speed | Avg,73.5777883193,m/min
Zone 1 | Capstan Speed | Max,77.952003479,m/min
Zone 1 | Capstan Speed | Min,69.1199951172,m/min
Zone 1 | Coated Inner Diameter | Avg,79.3017646341,µm
Zone 1 | Coated Inner Diameter | Max,79.8999938965,µm
Zone 1 | Coated Inner Diameter | Min,79,µm
Zone 1 | Coated Outer Diameter | Avg,112.7699996499,µm
Zone 1 | Coated Outer Diameter | Max,113.3999938965,µm
Zone 1 | Coated Outer Diameter | Min,112.0999984741,µm
Zone 1 | Furnace DegC Actual | Avg,2240.033415671,C
Zone 1 | Furnace DegC Actual | Max,2240.65625,C
Zone 1 | Furnace DegC Actual | Min,2239.1782226563,C
Zone 1 | Tension N | Avg,-0.0332917887,g
Zone 1 | Tension N | Max,0.0241241455,g
Zone 1 | Tension N | Min,-0.0881090164,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
Zone 1 | Fiber Length | Min,0.1265559196,km
Zone 1 | Fiber Length | Max,1.1573023796,km
,,
—,—,
CUT/SAVE Plan Source,T20_P2.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,0.1265559196,km
Good Zone 1 Fibre Length Max,1.1573023796,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
