Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T70_Avsl2,
Order__Draw Date,2026-01-21 14:01:14.593185,
Order__Order Index,,
Order__Preform Number,T70_Avsl2,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),0,count
Order__Fiber Diameter (µm),,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,,
Order__Secondary Coating,,
Order__Main Coating Temperature (°C),,°C
Order__Secondary Coating Temperature (°C),,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-01-21 14:01:14.593185,
Process__Preform Diameter,13.5,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,25.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),,µm
Process__Second Coating Diameter (Theoretical),,µm
Process__Primary Coating,,
Process__Secondary Coating,,
Process__Primary Coating Temperature,,°C
Process__Secondary Coating Temperature,,°C
Process__Primary Die Diameter,,µm
Process__Secondary Die Diameter,,µm
Process__Primary Die Name,,
Process__Secondary Die Name,,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),0.4,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.13,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-01-21 14:01:14.593185,
Dashboard Log File,,
Good Zones Count,0,count
Good Zones X Column,Fibre Length,
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),,km
,,
—,—,
CUT/SAVE Plan Source,T70_Avsl2.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
