Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0265.1F_1,
Order__Draw Date,2023-03-02 08:00:00,
Order__Order Index,,
Order__Preform Number,P0265.1,
Order__Fiber Project,R&D,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,PANDA - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),all,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),125.0,µm
Order__Main Coating Diameter (µm),167.0,µm
Order__Secondary Coating Diameter (µm),260.0,µm
Order__Tension (g),25.0,g
Order__Draw Speed (m/min),25.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,125 - PM,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2023-03-02 08:00:00,
Process__Preform Diameter,22.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,0.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,1,bool
Process__Iris Mode,PM Auto,
Process__Base Area,380.132711084365,mm^2
Process__Adjusted Area,380.132711084365,mm^2
Process__Effective Preform Diameter,22.0,mm
Process__Selected Iris Diameter,37.0,mm
Process__Iris Gap Area,695.0773746067418,mm^2
Process__Entry Fiber Diameter,125.0,µm
Process__Target First Coating Diameter,167.0,µm
Process__Target Second Coating Diameter,260.0,µm
Process__First Coating Diameter (Theoretical),167.0,µm
Process__Second Coating Diameter (Theoretical),260.0,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,,µm
Process__Secondary Die Diameter,,µm
Process__Primary Die Name,,
Process__Secondary Die Name,,
Process__Coating Die Selection Mode,Legacy Import,
Process__Draw Speed,25.0,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,Winder,
Process__Increment TF Value,,
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2023-03-02 08:00:00,
Dashboard Log File,,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,0.583,index/label
Zone 1 | End,4.439,index/label
Zone 1 | Bare Fibre Diameter | Avg,125.0,
Zone 1 | Bare Fibre Diameter | Min,125.0,
Zone 1 | Bare Fibre Diameter | Max,125.0,
Zone 1 | Capstan Speed | Avg,24.0,
Zone 1 | Capstan Speed | Min,24.0,
Zone 1 | Capstan Speed | Max,24.0,
Zone 1 | Tension N | Avg,24.0,g
Zone 1 | Tension N | Min,24.0,g
Zone 1 | Tension N | Max,24.0,g
Zone 1 | Furnace DegC Actual | Avg,2010.0,
Zone 1 | Furnace DegC Actual | Min,2010.0,
Zone 1 | Furnace DegC Actual | Max,2010.0,
Zone 1 | Furnace DegC Set | Avg,2010.0,
Zone 1 | Furnace DegC Set | Min,2010.0,
Zone 1 | Furnace DegC Set | Max,2010.0,
Zone 1 | Fibre Length | Avg,2.511,
Zone 1 | Fibre Length | Min,0.583,
Zone 1 | Fibre Length | Max,4.439,
Zone 1 | Coated Inner Diameter | Avg,167.0,
Zone 1 | Coated Inner Diameter | Min,167.0,
Zone 1 | Coated Inner Diameter | Max,167.0,
Zone 1 | Coated Outer Diameter | Avg,260.0,
Zone 1 | Coated Outer Diameter | Min,260.0,
Zone 1 | Coated Outer Diameter | Max,260.0,
Zone 1 | Pf Process Position | Avg,99.785,
Zone 1 | Pf Process Position | Min,36.04,
Zone 1 | Pf Process Position | Max,163.53,
Good Zone 1 (km from end) Start,0.027000000000000135,km
Good Zone 1 (km from end) End,3.883,km
Good Zone 1 Length,3.856,km
Good Zone 1 Fibre Length Min,0.583,km
Good Zone 1 Fibre Length Max,4.439,km
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),4.466,km
Zone 1 | Fiber Length | Min,0.583,km
Zone 1 | Fiber Length | Max,4.439,km
,,
—,—,
CUT/SAVE Plan Source,P0265.1F_1.csv,
AUTO Plan Mode,Legacy import from cuts/good fiber,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),4.466,km
Fiber Length Min (log),0.0,km
Fiber Length Max (log),4.466,km
T&M Coordinate System,km_from_end = (L_end - FibreLength),
Good Zones Order,Ordered from spool end → toward start,
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.027,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,3.856,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 2 Fibre Length Min,0.583,km
T&M Step 2 Fibre Length Max,4.439,km
Total Saved Length,3.856,km
Total Cut Length,0.027,km
Preform Length After Draw,164.48,cm
Done Description,Used saps from CorActive preform,
Done Timestamp,2023-03-02 08:00:00,
