Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0366F_1,
Order__Draw Date,2023-02-14 08:00:00,
Order__Order Index,,
Order__Preform Number,P0366,
Order__Fiber Project,R&D,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,ROUND,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),500,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),250.0,µm
Order__Main Coating Diameter (µm),315.0,µm
Order__Secondary Coating Diameter (µm),375.0,µm
Order__Tension (g),50.0,g
Order__Draw Speed (m/min),30.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,250 -Test,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2023-02-14 08:00:00,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,0.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,615.7521601035994,mm^2
Process__Adjusted Area,615.7521601035994,mm^2
Process__Effective Preform Diameter,28.0,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,188.49555921538763,mm^2
Process__Entry Fiber Diameter,250.0,µm
Process__Target First Coating Diameter,315.0,µm
Process__Target Second Coating Diameter,375.0,µm
Process__First Coating Diameter (Theoretical),315.0,µm
Process__Second Coating Diameter (Theoretical),375.0,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,,µm
Process__Secondary Die Diameter,,µm
Process__Primary Die Name,,
Process__Secondary Die Name,,
Process__Coating Die Selection Mode,Legacy Import,
Process__Draw Speed,30.0,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,Winder,
Process__Increment TF Value,,
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2023-02-14 08:00:00,
Dashboard Log File,,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,0.0,index/label
Zone 1 | End,0.455,index/label
Zone 1 | Bare Fibre Diameter | Avg,250.0,
Zone 1 | Bare Fibre Diameter | Min,250.0,
Zone 1 | Bare Fibre Diameter | Max,250.0,
Zone 1 | Capstan Speed | Avg,30.0,
Zone 1 | Capstan Speed | Min,30.0,
Zone 1 | Capstan Speed | Max,30.0,
Zone 1 | Tension N | Avg,55.0,g
Zone 1 | Tension N | Min,55.0,g
Zone 1 | Tension N | Max,55.0,g
Zone 1 | Furnace DegC Actual | Avg,1975.0,
Zone 1 | Furnace DegC Actual | Min,1975.0,
Zone 1 | Furnace DegC Actual | Max,1975.0,
Zone 1 | Furnace DegC Set | Avg,1975.0,
Zone 1 | Furnace DegC Set | Min,1975.0,
Zone 1 | Furnace DegC Set | Max,1975.0,
Zone 1 | Fibre Length | Avg,0.2275,
Zone 1 | Fibre Length | Min,0.0,
Zone 1 | Fibre Length | Max,0.455,
Zone 1 | Coated Inner Diameter | Avg,315.0,
Zone 1 | Coated Inner Diameter | Min,315.0,
Zone 1 | Coated Inner Diameter | Max,315.0,
Zone 1 | Coated Outer Diameter | Avg,375.0,
Zone 1 | Coated Outer Diameter | Min,375.0,
Zone 1 | Coated Outer Diameter | Max,375.0,
Zone 1 | Pf Process Position | Avg,150.805,
Zone 1 | Pf Process Position | Min,136.6,
Zone 1 | Pf Process Position | Max,165.01,
Good Zone 1 (km from end) Start,0.0,km
Good Zone 1 (km from end) End,0.455,km
Good Zone 1 Length,0.455,km
Good Zone 1 Fibre Length Min,0.0,km
Good Zone 1 Fibre Length Max,0.455,km
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),0.455,km
Zone 1 | Fiber Length | Min,0.0,km
Zone 1 | Fiber Length | Max,0.455,km
,,
—,—,
CUT/SAVE Plan Source,P0366F_1.csv,
AUTO Plan Mode,Legacy import from cuts/good fiber,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.455,km
Fiber Length Min (log),0.0,km
Fiber Length Max (log),0.455,km
T&M Coordinate System,km_from_end = (L_end - FibreLength),
Good Zones Order,Ordered from spool end → toward start,
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.086,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.455,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 2 Fibre Length Min,0.0,km
T&M Step 2 Fibre Length Max,0.455,km
Total Saved Length,0.455,km
Total Cut Length,0.086,km
Preform Length After Draw,171.49,cm
Done Description,"2nd drawing, first drawing failed 0-81.84mm",
Done Timestamp,2023-02-14 08:00:00,
